,move_in_values
20190112,6.7496652
20190113,6.4803888
20190114,6.9755904
20190115,5.522742
20190116,5.6802708
20190117,5.578146
20190118,5.7924396
20190119,6.5415924
20190120,6.27345
20190121,6.599232
20190122,5.4429732
20190123,5.5667736
20190124,5.7634092
20190125,6.079374
20190126,6.4086876
20190127,5.649264
20190128,5.5601964
20190129,4.325724
20190130,4.1991372
20190131,4.0238856
20190201,3.7849032
20190202,3.5144604
20190203,3.4574364
20190204,2.998458
20190205,2.9792448
20190206,4.5146808
20190207,5.9657796
20190208,8.0524692
20190209,12.1104072
20190210,18.2979972
20190211,23.1306516
20190212,22.499694
20190213,21.0315852
20190214,18.5814
20190215,15.0132852
20190216,13.7449224
20190217,13.339404
20190218,11.7897444
20190219,8.3375568
20190220,8.6716656
20190221,11.4808104
20190222,10.0532988
20190223,10.4313744
20190224,10.5536844
20190225,9.5295852
20190226,7.7701356
20190227,8.5960764
20190228,9.2011464
20190301,7.7154768
20190302,8.5874904
20190303,8.5253796
20190304,8.8998588
20190305,6.8741136
20190306,6.490206
20190307,6.7949604
20190308,6.74568
20190309,7.4116944
20200101,5.5163916
20200102,4.2713244
20200103,6.8144004
20200104,7.9102332
20200105,8.570772
20200106,7.2740268
20200107,6.7032036
20200108,6.936192
20200109,7.2480744
20200110,6.9142896
20200111,7.5042288
20200112,6.926472
20200113,7.2020664
20200114,5.7375216
20200115,5.5075788
20200116,5.5657692
20200117,5.327208
20200118,5.2183116
20200119,4.5417996
20200120,4.027158
20200121,4.0566744
20200122,3.5846064
20200123,3.3713172
20200124,2.8103112
20200125,1.964412
20200126,3.170016
20200127,5.2260228
20200128,5.406912
20200129,5.7703428
20200130,5.6788776
20200131,5.2376868
20200201,3.9820572
20200202,4.58379
20200203,3.925908
20200204,2.4455196
20200205,2.3662692
20200206,3.0307284
20200207,3.8985948
20200208,5.0728032
20200209,6.0909084
20200210,5.0302296
20200211,2.5265844
20200212,2.3869404
20200213,2.2758084
20200214,2.2640796
20200215,2.6303292
20200216,3.205008
20200217,3.5357472
20200218,3.278394
20200219,3.5300448
20200220,3.936114
20200221,4.1307408
20200222,5.0988204
20200223,6.137046
20200224,6.8325444
20200225,6.0943752
20200401,4.9971816
20200402,4.5240444
20200403,4.821444
20200404,6.7171032
20200405,5.4898236
20200406,9.026478
20200407,10.470708
20200501,9.2278116
20200502,5.7532032
20200503,7.2457416
20200504,10.31373
20200505,10.0038888
20200625,9.644832
20200626,6.310386
20200627,9.7103772
20210119,4.5070668
20210120,4.440906
20210121,4.4384112
20210122,4.4013456
20210123,5.0081652
20210124,4.5986616
20210125,5.8243212
20210126,4.2189984
20210127,3.985362
20210128,3.8422512
20210129,3.5681148
20210130,3.9287592
20210131,3.3719652
20210201,4.7974032
20210202,3.2662116
20210203,3.1175604
20210204,3.1687524
20210205,3.2377644
20210206,3.4172604
20210207,3.0667248
20210208,2.8634796
20210209,2.667006
20210210,2.6458488
20210211,2.7634932
20210212,2.0948868
20210213,3.2144364
20210214,4.167288
20210215,5.7423492
20210216,8.2672164
20210217,12.882402
20210218,16.5910356
20210219,15.0168816
20210220,13.6439964
20210221,13.0237956
20210222,12.0196548
20210223,8.1899748
20210224,7.3801692
20210225,6.6370104
20210226,5.8539024
20210227,7.000992
20210228,9.397296
20210301,10.5744204
20210302,7.5642984
20210303,7.0474212
20210304,6.7646664
20210305,6.3537696
20210306,7.0214364
20210307,7.063686
20210308,8.1571212
20210309,5.8943376
20210310,5.5944432
20210311,5.5088748
20210312,5.6731428
20210313,6.928578
20210314,6.7262724
20210315,8.1495072
20210316,5.7008772
20210317,5.767038
20210318,5.703372
20210319,5.8929444
20210320,6.6793248
20210321,6.6402504
20210322,7.9319088
20210323,5.3919756
20210324,5.2307208
20210325,5.2472772
20210326,5.2483788
20210327,6.0258168
20210328,6.2265672
20210329,8.031474
20210330,5.5549152
20210331,5.2053192
20210401,5.1722712
20210402,5.251068
20210403,7.529922
20210404,7.1711892
