,move_out_values
20190112,10.976148
20190113,9.3407256
20190114,9.3356388
20190115,8.66457
20190116,9.29394
20190117,9.6909048
20190118,9.9609264
20190119,11.75634
20190120,10.853514
20190121,11.5344
20190122,11.9813904
20190123,12.9839112
20190124,13.4913924
20190125,14.4756396
20190126,18.0603108
20190127,17.7778476
20190128,18.0008568
20190129,17.0088012
20190130,16.0237764
20190131,16.361676
20190201,17.5477428
20190202,16.5084804
20190203,14.2816284
20190204,11.4904656
20190205,7.7750604
20190206,9.8193384
20190207,10.2669444
20190208,9.0518796
20190209,7.7014476
20190210,6.8878512
20190211,6.3177732
20190212,6.0326856
20190213,6.0744816
20190214,6.3319644
20190215,6.3365004
20190216,7.8240816
20190217,6.9613344
20190218,6.89553
20190219,6.2445492
20190220,6.107724
20190221,6.0220908
20190222,6.3240912
20190223,8.6273748
20190224,8.2904796
20190225,7.56216
20190226,6.8235372
20190227,7.6605264
20190228,9.7802316
20190301,8.4284712
20190302,10.7190216
20190303,8.8266996
20190304,9.0201276
20190305,7.5708432
20190306,7.5587256
20190307,7.6429332
20190308,8.443926
20190309,9.8581536
20200101,7.4173644
20200102,6.9391728
20200103,12.0128832
20200104,13.4684208
20200105,12.0472596
20200106,12.1762116
20200107,12.5962452
20200108,13.6678104
20200109,15.932538
20200110,13.2870456
20200111,15.9347412
20200112,14.6374128
20200113,13.7922912
20200114,13.1729004
20200115,14.250654
20200116,16.1085996
20200117,17.5868496
20200118,20.57157
20200119,19.3820688
20200120,19.1640168
20200121,22.0308984
20200122,19.6357932
20200123,17.214282
20200124,13.2808896
20200125,6.621102
20200126,4.7246328
20200127,3.4173576
20200128,2.4631452
20200129,1.9886796
20200130,1.8080172
20200131,1.6380144
20200201,1.6049016
20200202,1.7877024
20200203,1.6142004
20200204,1.3365648
20200205,1.3267476
20200206,1.3086684
20200207,1.3417812
20200208,1.4404392
20200209,1.4827536
20200210,1.7384544
20200211,1.3969584
20200212,1.3187448
20200213,1.3302792
20200214,1.3886316
20200215,1.4092056
20200216,1.1997072
20200217,1.7412408
20200218,1.5985512
20200219,1.6443324
20200220,1.7961264
20200221,2.0162844
20200222,2.5375032
20200223,2.160594
20200224,2.8229148
20200225,2.4530688
20200401,6.1962408
20200402,7.128162
20200403,10.7543376
20200404,15.0373584
20200405,5.9802624
20200406,4.5533664
20200407,4.835376
20200501,19.8206352
20200502,11.1540888
20200503,7.628742
20200504,6.4025316
20200505,5.0516136
20200625,20.6516952
20200626,9.7199028
20200627,7.1586504
20210119,7.863156
20210120,7.9785
20210121,8.2948536
20210122,8.2243188
20210123,10.5094584
20210124,9.2022156
20210125,9.6650496
20210126,10.0022364
20210127,11.9604924
20210128,9.0933516
20210129,6.5265588
20210130,8.1389448
20210131,6.5212776
20210201,8.9585028
20210202,7.9522236
20210203,8.0673084
20210204,8.5727808
20210205,9.5022072
20210206,11.5315812
20210207,11.5869528
20210208,11.6385984
20210209,11.8040652
20210210,10.6924536
20210211,9.3371616
20210212,5.0687856
20210213,6.2262756
20210214,6.3022212
20210215,5.5236168
