,move_out_values
20190112,9.3351852
20190113,8.2029996
20190114,7.8272892
20190115,6.7750992
20190116,7.0771968
20190117,7.43094
20190118,7.6412484
20190119,10.1525724
20190120,9.6347232
20190121,9.9261288
20190122,9.8083224
20190123,10.8651132
20190124,11.572308
20190125,12.9449664
20190126,18.570384
20190127,20.4308892
20190128,20.4845436
20190129,19.2438504
20190130,19.655136
20190131,20.756574
20190201,21.2322384
20190202,18.0986724
20190203,14.297958
20190204,11.2041792
20190205,6.265674
20190206,7.67961
20190207,6.67116
20190208,5.690736
20190209,4.8056652
20190210,4.4908344
20190211,4.47606
20190212,4.3482744
20190213,4.487238
20190214,4.8469104
20190215,5.028804
20190216,6.8241528
20190217,6.0673536
20190218,6.1765092
20190219,5.2748496
20190220,5.189832
20190221,5.2222644
20190222,5.4967572
20190223,8.0788752
20190224,7.570422
20190225,6.6527244
20190226,5.8301208
20190227,6.5027772
20190228,8.2394172
20190301,7.092522
20190302,9.8170056
20190303,8.121384
20190304,7.973316
20190305,6.4870956
20190306,6.3724968
20190307,6.2665164
20190308,6.8980572
20190309,9.064224
20200101,6.5575008
20200102,5.859864
20200103,9.6199488
20200104,10.958814
20200105,9.3481776
20200106,9.4632624
20200107,8.937216
20200108,9.4871412
20200109,11.4669108
20200110,9.4892472
20200111,13.0937148
20200112,12.2928516
20200113,11.4270912
20200114,10.7605908
20200115,12.454398
20200116,15.1403904
20200117,18.0621576
20200118,24.5302668
20200119,25.89732
20200120,25.4825352
20200121,27.1716768
20200122,21.8942028
20200123,17.7825456
20200124,13.1922432
20200125,5.6490696
20200126,3.6039816
20200127,2.5287228
20200128,1.8767052
20200129,1.606716
20200130,1.5246468
20200131,1.3768056
20200201,1.3243176
20200202,1.4254704
20200203,1.5128856
20200204,1.2312972
20200205,1.0957032
20200206,1.1120652
20200207,1.1233728
20200208,1.0954116
20200209,1.086858
20200210,1.4377824
20200211,1.0158372
20200212,0.9738144
20200213,0.9955872
20200214,0.9578412
20200215,1.0252656
20200216,0.8472924
20200217,1.4190552
20200218,1.1632572
20200219,1.15911
20200220,1.3042944
20200221,1.437426
20200222,1.7580888
20200223,1.5135336
20200224,2.1905316
20200225,1.8502992
20200401,5.3384184
20200402,5.9584896
20200403,8.5830516
20200404,14.868522
20200405,5.9546988
20200406,4.3225812
20200407,4.3792488
20200501,20.7641556
20200502,12.212046
20200503,7.7915844
20200504,6.1724268
20200505,4.6258128
20200625,20.5685244
20200626,9.6135012
20200627,6.5027772
20210119,5.8683852
20210120,5.8988412
20210121,6.1863912
20210122,6.1988328
20210123,8.2379592
20210124,7.4462652
20210125,7.651584
20210126,7.4352168
20210127,8.6889996
20210128,7.150518
20210129,5.2724844
20210130,6.77403
20210131,6.0018732
20210201,8.2889244
20210202,7.5194244
20210203,7.815852
20210204,8.687088
20210205,10.004958
20210206,13.4163216
20210207,13.5949428
20210208,12.0367296
20210209,11.2373892
20210210,9.8741268
20210211,9.141498
20210212,4.1902272
20210213,4.7141352
20210214,4.3836876
20210215,3.9447
20210216,3.370248
20210217,3.2228604
20210218,3.5157564
20210219,3.3089796
20210220,3.4325208
20210221,4.0855104
20210222,4.3005492
20210223,4.0687272
20210224,4.1779152
20210225,4.341114
20210226,4.9543164
20210227,7.2137304
20210228,6.0600636
20210301,6.2209944
20210302,5.0996628
20210303,4.97502
20210304,4.9271652
20210305,5.2624728
20210306,7.8408
20210307,6.4627308
20210308,6.2871552
20210309,5.4079488
20210310,5.5519344
20210311,5.5714392
20210312,5.8383504
20210313,9.0099864
