,city_name,province_name,percentage
0,佛山市,广东省,27.18
1,东莞市,广东省,12.35
2,深圳市,广东省,11.94
3,清远市,广东省,4.9
4,中山市,广东省,3.9
5,惠州市,广东省,3.76
6,肇庆市,广东省,2.85
7,江门市,广东省,2.73
8,珠海市,广东省,2.58
9,湛江市,广东省,1.24
10,韶关市,广东省,1.24
11,茂名市,广东省,1.11
12,云浮市,广东省,0.95
13,阳江市,广东省,0.9
14,长沙市,湖南省,0.84
15,上海市,上海市,0.83
16,汕头市,广东省,0.74
17,河源市,广东省,0.72
18,梅州市,广东省,0.72
19,北京市,北京市,0.72
20,揭阳市,广东省,0.65
21,汕尾市,广东省,0.56
22,南宁市,广西壮族自治区,0.56
23,重庆市,重庆市,0.51
24,武汉市,湖北省,0.5
25,衡阳市,湖南省,0.49
26,赣州市,江西省,0.48
27,成都市,四川省,0.44
28,杭州市,浙江省,0.44
29,桂林市,广西壮族自治区,0.35
30,郴州市,湖南省,0.34
31,梧州市,广西壮族自治区,0.32
32,厦门市,福建省,0.32
33,潮州市,广东省,0.28
34,玉林市,广西壮族自治区,0.25
35,南京市,江苏省,0.24
36,永州市,湖南省,0.24
37,贵港市,广西壮族自治区,0.23
38,海口市,海南省,0.23
39,郑州市,河南省,0.23
40,南昌市,江西省,0.23
41,昆明市,云南省,0.2
42,贵阳市,贵州省,0.2
43,贺州市,广西壮族自治区,0.19
44,泉州市,福建省,0.18
45,西安市,陕西省,0.17
46,福州市,福建省,0.16
47,邵阳市,湖南省,0.15
48,钦州市,广西壮族自治区,0.15
49,天津市,天津市,0.15
50,柳州市,广西壮族自治区,0.15
51,合肥市,安徽省,0.14
52,株洲市,湖南省,0.13
53,温州市,浙江省,0.13
54,宜春市,江西省,0.13
55,三亚市,海南省,0.13
56,宁波市,浙江省,0.12
57,北海市,广西壮族自治区,0.12
58,岳阳市,湖南省,0.12
59,苏州市,江苏省,0.11
60,青岛市,山东省,0.11
61,漳州市,福建省,0.11
62,济南市,山东省,0.1
63,吉安市,江西省,0.1
64,荆州市,湖北省,0.1
65,无锡市,江苏省,0.09
66,金华市,浙江省,0.09
67,石家庄市,河北省,0.09
68,常德市,湖南省,0.09
69,益阳市,湖南省,0.09
70,遵义市,贵州省,0.08
71,沈阳市,辽宁省,0.08
72,南阳市,河南省,0.08
73,娄底市,湖南省,0.08
74,太原市,山西省,0.07
75,黔东南苗族侗族自治州,贵州省,0.07
76,怀化市,湖南省,0.07
77,驻马店市,河南省,0.07
78,哈尔滨市,黑龙江省,0.07
79,百色市,广西壮族自治区,0.07
80,湘潭市,湖南省,0.07
81,大连市,辽宁省,0.06
82,上饶市,江西省,0.06
83,襄阳市,湖北省,0.05
84,宜昌市,湖北省,0.05
85,黄冈市,湖北省,0.05
86,湘西土家族苗族自治州,湖南省,0.05
87,黔南布依族苗族自治州,贵州省,0.05
88,临沂市,山东省,0.05
89,长春市,吉林省,0.05
90,龙岩市,福建省,0.05
91,常州市,江苏省,0.05
92,九江市,江西省,0.05
93,洛阳市,河南省,0.05
94,信阳市,河南省,0.05
95,绍兴市,浙江省,0.05
96,嘉兴市,浙江省,0.05
97,崇左市,广西壮族自治区,0.05
98,铜仁市,贵州省,0.04
99,兰州市,甘肃省,0.04
