,city_name,province_name,percentage
0,东莞市,广东省,32.34
1,惠州市,广东省,16.17
2,广州市,广东省,12.23
3,佛山市,广东省,3.37
4,中山市,广东省,2.07
5,珠海市,广东省,1.62
6,汕尾市,广东省,1.62
7,河源市,广东省,1.29
8,上海市,上海市,0.93
9,江门市,广东省,0.93
10,北京市,北京市,0.91
11,梅州市,广东省,0.91
12,揭阳市,广东省,0.9
13,汕头市,广东省,0.89
14,长沙市,湖南省,0.88
15,茂名市,广东省,0.71
16,武汉市,湖北省,0.65
17,清远市,广东省,0.58
18,肇庆市,广东省,0.57
19,赣州市,江西省,0.55
20,厦门市,福建省,0.53
21,湛江市,广东省,0.52
22,韶关市,广东省,0.51
23,杭州市,浙江省,0.46
24,重庆市,重庆市,0.46
25,南宁市,广西壮族自治区,0.46
26,成都市,四川省,0.42
27,吉安市,江西省,0.37
28,南昌市,江西省,0.3
29,云浮市,广东省,0.29
30,玉林市,广西壮族自治区,0.29
31,潮州市,广东省,0.29
32,阳江市,广东省,0.28
33,衡阳市,湖南省,0.28
34,郑州市,河南省,0.27
35,郴州市,湖南省,0.27
36,桂林市,广西壮族自治区,0.27
37,南京市,江苏省,0.24
38,泉州市,福建省,0.23
39,邵阳市,湖南省,0.21
40,福州市,福建省,0.21
41,苏州市,江苏省,0.2
42,合肥市,安徽省,0.19
43,永州市,湖南省,0.19
44,西安市,陕西省,0.19
45,海口市,海南省,0.19
46,昆明市,云南省,0.16
47,漳州市,福建省,0.16
48,天津市,天津市,0.16
49,贵阳市,贵州省,0.16
50,株洲市,湖南省,0.14
51,梧州市,广西壮族自治区,0.14
52,岳阳市,湖南省,0.14
53,宁波市,浙江省,0.14
54,怀化市,湖南省,0.13
55,柳州市,广西壮族自治区,0.13
56,温州市,浙江省,0.13
57,青岛市,山东省,0.13
58,三亚市,海南省,0.12
59,济南市,山东省,0.11
60,南阳市,河南省,0.11
61,贵港市,广西壮族自治区,0.11
62,宜春市,江西省,0.11
63,常德市,湖南省,0.11
64,九江市,江西省,0.1
65,黄冈市,湖北省,0.1
66,上饶市,江西省,0.1
67,荆州市,湖北省,0.09
68,北海市,广西壮族自治区,0.09
69,贺州市,广西壮族自治区,0.09
70,驻马店市,河南省,0.09
71,湘潭市,湖南省,0.08
72,抚州市,江西省,0.08
73,龙岩市,福建省,0.08
74,襄阳市,湖北省,0.08
75,娄底市,湖南省,0.08
76,钦州市,广西壮族自治区,0.08
77,益阳市,湖南省,0.08
78,金华市,浙江省,0.08
79,无锡市,江苏省,0.08
80,沈阳市,辽宁省,0.08
81,黔东南苗族侗族自治州,贵州省,0.07
82,遵义市,贵州省,0.07
83,长春市,吉林省,0.07
84,常州市,江苏省,0.07
85,哈尔滨市,黑龙江省,0.07
86,河池市,广西壮族自治区,0.06
87,宁德市,福建省,0.06
88,咸宁市,湖北省,0.06
89,莆田市,福建省,0.06
90,信阳市,河南省,0.06
91,石家庄市,河北省,0.06
92,百色市,广西壮族自治区,0.06
93,崇左市,广西壮族自治区,0.06
94,南通市,江苏省,0.06
95,防城港市,广西壮族自治区,0.06
96,大连市,辽宁省,0.06
97,洛阳市,河南省,0.05
98,周口市,河南省,0.05
99,台州市,浙江省,0.05
