,city_name,province_name,percentage
0,佛山市,广东省,27.86
1,东莞市,广东省,12.01
2,深圳市,广东省,9.65
3,清远市,广东省,6.19
4,中山市,广东省,3.83
5,惠州市,广东省,3.78
6,肇庆市,广东省,3.22
7,江门市,广东省,2.78
8,珠海市,广东省,2.4
9,韶关市,广东省,1.56
10,湛江市,广东省,1.39
11,茂名市,广东省,1.24
12,云浮市,广东省,0.92
13,河源市,广东省,0.79
14,汕头市,广东省,0.77
15,揭阳市,广东省,0.74
16,阳江市,广东省,0.72
17,北京市,北京市,0.7
18,梅州市,广东省,0.68
19,长沙市,湖南省,0.67
20,上海市,上海市,0.65
21,汕尾市,广东省,0.64
22,衡阳市,湖南省,0.63
23,赣州市,江西省,0.61
24,南宁市,广西壮族自治区,0.6
25,武汉市,湖北省,0.44
26,重庆市,重庆市,0.41
27,郴州市,湖南省,0.41
28,梧州市,广西壮族自治区,0.38
29,潮州市,广东省,0.37
30,桂林市,广西壮族自治区,0.36
31,杭州市,浙江省,0.32
32,成都市,四川省,0.32
33,玉林市,广西壮族自治区,0.3
34,厦门市,福建省,0.3
35,贵港市,广西壮族自治区,0.29
36,贺州市,广西壮族自治区,0.26
37,永州市,湖南省,0.26
38,南昌市,江西省,0.21
39,南京市,江苏省,0.21
40,邵阳市,湖南省,0.2
41,昆明市,云南省,0.19
42,西安市,陕西省,0.18
43,贵阳市,贵州省,0.18
44,郑州市,河南省,0.17
45,福州市,福建省,0.17
46,柳州市,广西壮族自治区,0.17
47,钦州市,广西壮族自治区,0.16
48,株洲市,湖南省,0.15
49,海口市,海南省,0.15
50,苏州市,江苏省,0.14
51,泉州市,福建省,0.14
52,宜春市,江西省,0.13
53,天津市,天津市,0.13
54,百色市,广西壮族自治区,0.11
55,岳阳市,湖南省,0.11
56,漳州市,福建省,0.11
57,合肥市,安徽省,0.1
58,常德市,湖南省,0.1
59,荆州市,湖北省,0.1
60,娄底市,湖南省,0.09
61,吉安市,江西省,0.09
62,三亚市,海南省,0.09
63,黔东南苗族侗族自治州,贵州省,0.09
64,益阳市,湖南省,0.09
65,湘潭市,湖南省,0.09
66,温州市,浙江省,0.08
67,青岛市,山东省,0.08
68,遵义市,贵州省,0.08
69,济南市,山东省,0.08
70,宁波市,浙江省,0.08
71,龙岩市,福建省,0.07
72,九江市,江西省,0.07
73,北海市,广西壮族自治区,0.07
74,怀化市,湖南省,0.07
75,无锡市,江苏省,0.07
76,沈阳市,辽宁省,0.07
77,哈尔滨市,黑龙江省,0.07
78,乌鲁木齐市,新疆维吾尔自治区,0.06
79,驻马店市,河南省,0.06
80,金华市,浙江省,0.06
81,石家庄市,河北省,0.06
82,上饶市,江西省,0.06
83,南阳市,河南省,0.06
84,崇左市,广西壮族自治区,0.06
85,兰州市,甘肃省,0.06
86,河池市,广西壮族自治区,0.05
87,来宾市,广西壮族自治区,0.05
88,黔南布依族苗族自治州,贵州省,0.05
89,襄阳市,湖北省,0.05
90,黄冈市,湖北省,0.05
91,长春市,吉林省,0.05
92,大连市,辽宁省,0.05
93,嘉兴市,浙江省,0.05
94,临沧市,云南省,0.05
95,太原市,山西省,0.05
96,信阳市,河南省,0.04
97,孝感市,湖北省,0.04
98,铜仁市,贵州省,0.04
99,绍兴市,浙江省,0.04
