,city_name,province_name,percentage
0,东莞市,广东省,22.94
1,惠州市,广东省,18.9
2,广州市,广东省,9.02
3,汕尾市,广东省,4.8
4,茂名市,广东省,3.43
5,佛山市,广东省,3.11
6,河源市,广东省,2.69
7,梅州市,广东省,2.2
8,揭阳市,广东省,2.19
9,中山市,广东省,1.92
10,珠海市,广东省,1.55
11,韶关市,广东省,1.47
12,汕头市,广东省,1.2
13,清远市,广东省,1.02
14,江门市,广东省,0.9
15,湛江市,广东省,0.8
16,长沙市,湖南省,0.79
17,云浮市,广东省,0.78
18,赣州市,江西省,0.76
19,北京市,北京市,0.69
20,上海市,上海市,0.67
21,武汉市,湖北省,0.6
22,肇庆市,广东省,0.6
23,桂林市,广西壮族自治区,0.46
24,潮州市,广东省,0.41
25,玉林市,广西壮族自治区,0.41
26,郴州市,湖南省,0.4
27,厦门市,福建省,0.4
28,成都市,四川省,0.38
29,阳江市,广东省,0.36
30,重庆市,重庆市,0.36
31,南宁市,广西壮族自治区,0.36
32,杭州市,浙江省,0.35
33,邵阳市,湖南省,0.3
34,吉安市,江西省,0.26
35,衡阳市,湖南省,0.25
36,永州市,湖南省,0.24
37,西安市,陕西省,0.21
38,南昌市,江西省,0.21
39,南京市,江苏省,0.19
40,泉州市,福建省,0.19
41,苏州市,江苏省,0.17
42,漳州市,福建省,0.17
43,郑州市,河南省,0.16
44,梧州市,广西壮族自治区,0.16
45,昆明市,云南省,0.15
46,福州市,福建省,0.15
47,合肥市,安徽省,0.15
48,株洲市,湖南省,0.15
49,贵阳市,贵州省,0.14
50,贵港市,广西壮族自治区,0.14
51,贺州市,广西壮族自治区,0.13
52,怀化市,湖南省,0.13
53,九江市,江西省,0.13
54,天津市,天津市,0.12
55,岳阳市,湖南省,0.12
56,柳州市,广西壮族自治区,0.12
57,钦州市,广西壮族自治区,0.12
58,黄冈市,湖北省,0.12
59,海口市,海南省,0.12
60,宁波市,浙江省,0.11
61,龙岩市,福建省,0.09
62,济南市,山东省,0.09
63,北海市,广西壮族自治区,0.09
64,百色市,广西壮族自治区,0.09
65,青岛市,山东省,0.09
66,常德市,湖南省,0.08
67,荆州市,湖北省,0.08
68,宜春市,江西省,0.08
69,信阳市,河南省,0.08
70,娄底市,湖南省,0.08
71,哈尔滨市,黑龙江省,0.07
72,河池市,广西壮族自治区,0.07
73,驻马店市,河南省,0.07
74,无锡市,江苏省,0.07
75,南阳市,河南省,0.07
76,黔东南苗族侗族自治州,贵州省,0.07
77,上饶市,江西省,0.07
78,温州市,浙江省,0.06
79,益阳市,湖南省,0.06
80,湘潭市,湖南省,0.06
81,襄阳市,湖北省,0.06
82,孝感市,湖北省,0.06
83,抚州市,江西省,0.06
84,三亚市,海南省,0.06
85,咸宁市,湖北省,0.05
86,金华市,浙江省,0.05
87,长春市,吉林省,0.05
88,遵义市,贵州省,0.05
89,常州市,江苏省,0.05
90,安庆市,安徽省,0.05
91,大连市,辽宁省,0.05
92,台州市,浙江省,0.05
93,来宾市,广西壮族自治区,0.05
94,太原市,山西省,0.04
95,毕节市,贵州省,0.04
96,沈阳市,辽宁省,0.04
97,嘉兴市,浙江省,0.04
98,莆田市,福建省,0.04
99,兰州市,甘肃省,0.04
