,city_name,province_name,迁徙指数
0,佛山市,广东省,316.49746766399994
1,东莞市,广东省,136.436991624
2,深圳市,广东省,109.62672515999999
3,清远市,广东省,70.320148056
4,中山市,广东省,43.509881592
5,惠州市,广东省,42.94186747199999
6,肇庆市,广东省,36.580109328
7,江门市,广东省,31.581585071999996
8,珠海市,广东省,27.264677759999998
9,韶关市,广东省,17.722040544
10,湛江市,广东省,15.790792535999998
11,茂名市,广东省,14.086750175999999
12,云浮市,广东省,10.451459808
13,河源市,广东省,8.974623096
14,汕头市,广东省,8.747417448
15,揭阳市,广东省,8.406608976
16,阳江市,广东省,8.179403328
17,北京市,北京市,7.9521976799999985
18,梅州市,广东省,7.724992032
19,长沙市,湖南省,7.611389208
20,上海市,上海市,7.384183559999999
21,汕尾市,广东省,7.270580735999999
22,衡阳市,湖南省,7.156977911999999
23,赣州市,江西省,6.9297722639999995
24,南宁市,广西壮族自治区,6.8161694399999995
25,武汉市,湖北省,4.998524256
26,重庆市,重庆市,4.657715784
27,郴州市,湖南省,4.657715784
28,梧州市,广西壮族自治区,4.316907312
29,潮州市,广东省,4.203304488
30,桂林市,广西壮族自治区,4.089701664
31,杭州市,浙江省,3.6352903679999997
32,成都市,四川省,3.6352903679999997
33,玉林市,广西壮族自治区,3.4080847199999997
34,厦门市,福建省,3.4080847199999997
35,贵港市,广西壮族自治区,3.2944818959999993
36,贺州市,广西壮族自治区,2.9536734239999998
37,永州市,湖南省,2.9536734239999998
38,南昌市,江西省,2.385659304
39,南京市,江苏省,2.385659304
40,邵阳市,湖南省,2.27205648
41,昆明市,云南省,2.158453656
42,西安市,陕西省,2.044850832
43,贵阳市,贵州省,2.044850832
44,郑州市,河南省,1.931248008
45,福州市,福建省,1.931248008
46,柳州市,广西壮族自治区,1.931248008
47,钦州市,广西壮族自治区,1.8176451839999999
48,株洲市,湖南省,1.7040423599999999
49,海口市,海南省,1.7040423599999999
50,苏州市,江苏省,1.590439536
51,泉州市,福建省,1.590439536
52,宜春市,江西省,1.4768367119999999
53,天津市,天津市,1.4768367119999999
54,百色市,广西壮族自治区,1.249631064
55,岳阳市,湖南省,1.249631064
56,漳州市,福建省,1.249631064
57,合肥市,安徽省,1.13602824
58,常德市,湖南省,1.13602824
59,荆州市,湖北省,1.13602824
60,娄底市,湖南省,1.022425416
61,吉安市,江西省,1.022425416
62,三亚市,海南省,1.022425416
63,黔东南苗族侗族自治州,贵州省,1.022425416
64,益阳市,湖南省,1.022425416
65,湘潭市,湖南省,1.022425416
66,温州市,浙江省,0.9088225919999999
67,青岛市,山东省,0.9088225919999999
68,遵义市,贵州省,0.9088225919999999
69,济南市,山东省,0.9088225919999999
70,宁波市,浙江省,0.9088225919999999
71,龙岩市,福建省,0.795219768
72,九江市,江西省,0.795219768
73,北海市,广西壮族自治区,0.795219768
74,怀化市,湖南省,0.795219768
75,无锡市,江苏省,0.795219768
76,沈阳市,辽宁省,0.795219768
77,哈尔滨市,黑龙江省,0.795219768
78,乌鲁木齐市,新疆维吾尔自治区,0.681616944
79,驻马店市,河南省,0.681616944
80,金华市,浙江省,0.681616944
81,石家庄市,河北省,0.681616944
82,上饶市,江西省,0.681616944
83,南阳市,河南省,0.681616944
84,崇左市,广西壮族自治区,0.681616944
85,兰州市,甘肃省,0.681616944
86,河池市,广西壮族自治区,0.56801412
87,来宾市,广西壮族自治区,0.56801412
88,黔南布依族苗族自治州,贵州省,0.56801412
89,襄阳市,湖北省,0.56801412
90,黄冈市,湖北省,0.56801412
91,长春市,吉林省,0.56801412
92,大连市,辽宁省,0.56801412
93,嘉兴市,浙江省,0.56801412
94,临沧市,云南省,0.56801412
95,太原市,山西省,0.56801412
96,信阳市,河南省,0.45441129599999996
97,孝感市,湖北省,0.45441129599999996
98,铜仁市,贵州省,0.45441129599999996
99,绍兴市,浙江省,0.45441129599999996
