,city_name,province_name,迁徙指数
0,东莞市,广东省,359.885298456
1,惠州市,广东省,296.50532436
2,广州市,广东省,141.506773848
3,汕尾市,广东省,75.30293952
4,茂名市,广东省,53.810225532000004
5,佛山市,广东省,48.790029563999994
6,河源市,广东省,42.201022355999996
7,梅州市,广东省,34.51384728
8,揭阳市,广东省,34.356966156
9,中山市,广东省,30.121175807999997
10,珠海市,广东省,24.31657422
11,韶关市,广东省,23.061525228
12,汕头市,广东省,18.82573488
13,清远市,广东省,16.001874648
14,江门市,广东省,14.11930116
15,湛江市,广东省,12.55048992
16,长沙市,湖南省,12.393608796
17,云浮市,广东省,12.236727672
18,赣州市,江西省,11.922965424
19,北京市,北京市,10.824797555999998
20,上海市,上海市,10.511035308
21,武汉市,湖北省,9.41286744
22,肇庆市,广东省,9.41286744
23,桂林市,广西壮族自治区,7.216531704
24,潮州市,广东省,6.432126083999999
25,玉林市,广西壮族自治区,6.432126083999999
26,郴州市,湖南省,6.27524496
27,厦门市,福建省,6.27524496
28,成都市,四川省,5.961482712
29,阳江市,广东省,5.647720464
30,重庆市,重庆市,5.647720464
31,南宁市,广西壮族自治区,5.647720464
32,杭州市,浙江省,5.49083934
33,邵阳市,湖南省,4.70643372
34,吉安市,江西省,4.078909224
35,衡阳市,湖南省,3.9220281
36,永州市,湖南省,3.7651469759999996
37,西安市,陕西省,3.294503604
38,南昌市,江西省,3.294503604
39,南京市,江苏省,2.980741356
40,泉州市,福建省,2.980741356
41,苏州市,江苏省,2.666979108
42,漳州市,福建省,2.666979108
43,郑州市,河南省,2.510097984
44,梧州市,广西壮族自治区,2.510097984
45,昆明市,云南省,2.35321686
46,福州市,福建省,2.35321686
47,合肥市,安徽省,2.35321686
48,株洲市,湖南省,2.35321686
49,贵阳市,贵州省,2.196335736
50,贵港市,广西壮族自治区,2.196335736
51,贺州市,广西壮族自治区,2.039454612
52,怀化市,湖南省,2.039454612
53,九江市,江西省,2.039454612
54,天津市,天津市,1.8825734879999998
55,岳阳市,湖南省,1.8825734879999998
56,柳州市,广西壮族自治区,1.8825734879999998
57,钦州市,广西壮族自治区,1.8825734879999998
58,黄冈市,湖北省,1.8825734879999998
59,海口市,海南省,1.8825734879999998
60,宁波市,浙江省,1.725692364
61,龙岩市,福建省,1.411930116
62,济南市,山东省,1.411930116
63,北海市,广西壮族自治区,1.411930116
64,百色市,广西壮族自治区,1.411930116
65,青岛市,山东省,1.411930116
66,常德市,湖南省,1.255048992
67,荆州市,湖北省,1.255048992
68,宜春市,江西省,1.255048992
69,信阳市,河南省,1.255048992
70,娄底市,湖南省,1.255048992
71,哈尔滨市,黑龙江省,1.098167868
72,河池市,广西壮族自治区,1.098167868
73,驻马店市,河南省,1.098167868
74,无锡市,江苏省,1.098167868
75,南阳市,河南省,1.098167868
76,黔东南苗族侗族自治州,贵州省,1.098167868
77,上饶市,江西省,1.098167868
78,温州市,浙江省,0.9412867439999999
79,益阳市,湖南省,0.9412867439999999
80,湘潭市,湖南省,0.9412867439999999
81,襄阳市,湖北省,0.9412867439999999
82,孝感市,湖北省,0.9412867439999999
83,抚州市,江西省,0.9412867439999999
84,三亚市,海南省,0.9412867439999999
85,咸宁市,湖北省,0.78440562
86,金华市,浙江省,0.78440562
87,长春市,吉林省,0.78440562
88,遵义市,贵州省,0.78440562
89,常州市,江苏省,0.78440562
90,安庆市,安徽省,0.78440562
91,大连市,辽宁省,0.78440562
92,台州市,浙江省,0.78440562
93,来宾市,广西壮族自治区,0.78440562
94,太原市,山西省,0.627524496
95,毕节市,贵州省,0.627524496
96,沈阳市,辽宁省,0.627524496
97,嘉兴市,浙江省,0.627524496
98,莆田市,福建省,0.627524496
99,兰州市,甘肃省,0.627524496
